,dissimilarity,contrast,homogeneity,energy,ASM,correlation,Label
0,0.40471628429651885,0.1407515038564019,0.3198155908023126,0.5602769493874935,0.3450968399758976,0.8550356492313302,0.0
1,0.3866478743418476,0.1449376135086017,0.3409998554849546,0.5561526764423317,0.34055316450897555,0.8488723344009437,0.0
2,0.5725648366772306,0.25874875824854615,0.2529148054086827,0.5704347517732429,0.3564143122028872,0.7485920406268645,0.0
3,0.5374945548554904,0.22421814843798066,0.27403729072579264,0.5696365623164695,0.3555184720538623,0.7940335322660799,0.0
4,0.6974614578466898,0.46573827740164797,0.22744510291735254,0.5415527432574221,0.324707312752851,0.7844502983614166,0.0
5,0.6079002733620372,0.21968116133845897,0.20110833650836274,0.5246047217582172,0.3067799861936523,0.8401366641876795,0.0
6,0.26183884897536575,0.1162509714115358,0.46644406486278256,0.5146418485344452,0.29647560059064165,0.7440924217344591,0.0
7,0.43749329221328537,0.3191159263199069,0.39098733589743284,0.5417025043420671,0.32486796390896483,0.6605890024955636,0.0
8,0.40481019331052137,0.2113228957329,0.3916562228234608,0.5680891292768889,0.3537848959051469,0.7851677310880878,0.0
9,0.5364895705753859,0.41038226373354686,0.3444033566292378,0.568271454375548,0.353988935784374,0.6945448801354734,0.0
10,0.2814749081427794,0.16145448235110502,0.45270187595443956,0.5777727119780233,0.3647021454531994,0.8134051633286716,0.0
11,0.3580884859657317,0.1754761078096104,0.3734059392791378,0.5693926398460265,0.3552449300661086,0.7800047282437259,0.0
12,0.4573309795578224,0.19502695104794088,0.2920334153711661,0.5274818592824987,0.30978801376050386,0.8470534776756227,0.0
13,0.5141325174560283,0.21771938476481145,0.25979695088282917,0.5071759700738464,0.28886745244214374,0.8510145745600373,0.0
14,0.4627552115557013,0.1898072902987516,0.3289516106586997,0.5414293949760706,0.3245750244644674,0.7850485707994044,0.0
15,0.30573855099180536,0.19909498751291002,0.4791686617874814,0.5473838299964634,0.33099134924796064,0.8070192234566393,0.0
16,0.31415958534829974,0.2150557849688486,0.6083801362454574,0.7729190181884342,0.6196215814197796,0.826332755969932,0.0
17,0.26407214737559803,0.19170881374915308,0.6836523949150489,0.8104628328656627,0.6762952409584755,0.7701387515664497,0.0
18,0.4053598372454197,0.15318664990424496,0.3110811464602272,0.5502655781670942,0.3341188769874168,0.8435996578345673,0.0
19,0.40206947057412323,0.15789674070352117,0.30762262087970926,0.5535976747125368,0.33775324672531143,0.8589018823157153,0.0
20,0.39525869960479276,0.06401356635818285,0.038422601037751025,0.01748884616092128,0.002480985692933554,0.8751664056859154,0.0
21,0.4012203436912082,0.30451959384510985,0.4987849387765704,0.7785962693034575,0.6280335709790313,0.7732882208186551,0.0
22,0.40152258866904866,0.19631162713330572,0.3452348221757039,0.5748031752393027,0.36133688257060814,0.8395517329685271,0.0
23,0.3894083258627001,0.16163599332523015,0.34363172709132117,0.569611282980117,0.35549011821898824,0.8401325592160565,0.0
24,0.1569858836601472,0.02319187928831893,0.44201321228144763,0.6738187835951328,0.4818537197136095,0.7706233576893706,0.0
25,0.19698757244409643,0.03067483771346187,0.3597599377289974,0.45482880514659063,0.23825745751292446,0.796331560171829,0.0
26,0.281668250230432,0.11616246925225063,0.4771885532867819,0.5859761974852665,0.37407889826391216,0.8407451530956183,0.0
